OrderID,ProductCategory,ProductSubCategory,ProductName,State,OrderDate,Profit,Sales
3271,Technology,Office Machines,Panasonic KX-P1131 Dot Matrix Printer,Georgia,12/31/2012,1844.7713,23065.98
48774,Furniture,Chairs & Chairmats,Hon Deluxe Fabric Upholstered Stacking Chairs,Georgia,8/9/2013,384.2785,14647.56
86071,Furniture,Tables,Bretford Rectangular Conference Table Tops,Georgia,10/3/2012,-164.0268,7092.73
11876,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Georgia,7/3/2012,1144.9228,6771.68
13730,Furniture,Tables,Bevis Round Conference Table Top & Single Column Base,Georgia,5/9/2012,-470.986516,5704.74
58628,Furniture,Tables,Balt Split Level Computer Training Table,Georgia,3/24/2010,-445.9717763,2527.79
21670,Furniture,Office Furnishings,Howard Miller 12-3/4 Diameter Accuwave DS ? Wall Clock,Georgia,1/11/2012,556.6025,2210.86
86066,Technology,Computer Peripherals,US Robotics 56K V.92 External Faxmodem,Georgia,9/23/2011,46.38,2149.08
13634,Technology,Computer Peripherals,"IBM Active Response Keyboard, Black",Georgia,4/18/2012,70.0217,2062.06
57061,Office Supplies,Binders and Binder Accessories,"Avery Flip-Chart Easel Binder, Black",Georgia,11/30/2013,-106.54497,1703.81
13601,Office Supplies,Appliances,"Eureka Hand Vacuum, Bagless",Georgia,8/16/2013,-126.0308,1645.82
12224,Technology,Telephones and Communication,Accessory17,Georgia,12/12/2010,-277.20924,1569
3138,Technology,Computer Peripherals,Motorola SB4200 Cable Modem,Georgia,2/8/2010,-568.5351,718.03
12224,Furniture,Tables,Bevis 36 x 72 Conference Tables,Georgia,12/12/2010,-247.55157,605.82
36065,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,Georgia,2/17/2011,-85.0934,538.3
5703,Office Supplies,Paper,Xerox 1881,Georgia,5/15/2011,6.9948,518.42
86063,Furniture,Chairs & Chairmats,"Global Leather Task Chair, Black",Georgia,4/18/2010,223.416,511.25
40165,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Georgia,3/2/2012,-99.9761,471.92
86071,Office Supplies,Paper,Xerox 1988,Georgia,10/3/2012,14.604,471.72
25697,Technology,Computer Peripherals,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Georgia,4/26/2012,-49.875,452.46
18341,Office Supplies,Paper,Xerox 196,Georgia,7/18/2013,-219.7958,335.49
1793,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems' Combs,Georgia,7/11/2013,-95.62434,324.21
3271,Office Supplies,Paper,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Georgia,12/31/2012,34.2638,292.2
26818,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Georgia,1/8/2013,-215.72068,279.27
86067,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Georgia,12/28/2011,-16.2127,274.59
13408,Furniture,Office Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Georgia,2/14/2010,116.5063,256.77
12256,Office Supplies,Labels,Avery 49,Georgia,12/18/2013,29.8753,235.94
56931,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Georgia,2/3/2011,-147.09002,232.42
58496,Office Supplies,Paper,Xerox 1997,Georgia,6/11/2012,-164.8402,227.65
26818,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems Combs,Georgia,1/8/2013,-25.90973,220.48
57061,Furniture,Office Furnishings,"Seth Thomas 13 1/2"" Wall Clock",Georgia,11/30/2013,31.3828,202.29
13634,Office Supplies,Envelopes,Staples Brown Kraft Recycled Clasp Envelopes,Georgia,4/18/2012,-73.9613,168.2
57061,Office Supplies,Labels,Avery 51,Georgia,11/30/2010,4.1674,121.87
26818,Office Supplies,Appliances,Staples 6 Outlet Surge,Georgia,1/8/2013,-6.8628,94.07
54145,Furniture,Office Furnishings,Eldon? Wave Desk Accessories,Georgia,1/2/2011,-176.9698,70.25
18561,Office Supplies,Labels,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Georgia,1/9/2010,-51.737,45.87
52932,Office Supplies,Paper,Xerox 21,Georgia,5/12/2013,-18.2476,34.97
86064,Office Supplies,Pens & Art Supplies,Prang Colored Pencils,Georgia,10/8/2010,-93.9274,29.88
